t1.id|t1.name|t2.id|t2.firstName|t2.lastName|t2.birthday|t2.locationIP|t2.browserUsed|t2.gender|t2.creationDate
116|Rohtak|2199023264794|K.|Khan|1986-04-10|59.183.9.207|Firefox|female|2010-03-10T14:28:33.635+00:00
116|Rohtak|2199023259153|Ashok|Kumar|1980-12-02|14.1.99.233|Firefox|male|2010-03-07T23:52:06.928+00:00
116|Rohtak|21990232566108|Amit|Singh|1988-04-22|27.48.201.164|Firefox|male|2011-10-10T13:15:16.245+00:00
116|Rohtak|37383395353132|Amit|Singh|1988-12-20|49.50.121.241|Safari|male|2012-11-20T15:07:37.447+00:00
116|Rohtak|21990232561092|Shweta|Khan|1987-01-31|27.107.209.178|Firefox|male|2011-09-29T10:53:58.438+00:00
117|Jiaganj_Azimganj|37383395354792|Anupam|Singh|1985-09-21|61.95.163.82|Internet Explorer|female|2012-12-26T07:12:01.087+00:00
117|Jiaganj_Azimganj|26388279066965|Arjun|Khan|1985-11-22|27.123.216.221|Firefox|female|2012-02-15T02:52:50.372+00:00
117|Jiaganj_Azimganj|30786325588195|Joseph|Kumar|1986-12-21|49.205.95.4|Chrome|male|2012-06-07T08:08:45.342+00:00
117|Jiaganj_Azimganj|26388279076493|Arjun|Khan|1988-10-23|61.11.63.229|Firefox|female|2012-01-14T08:39:21.099+00:00
117|Jiaganj_Azimganj|13194139537598|Sanjay|Anand|1988-05-11|103.1.131.183|Firefox|male|2011-02-19T16:16:39.489+00:00
117|Jiaganj_Azimganj|4398046520857|Deepak|Rao|1983-08-04|61.12.120.114|Firefox|male|2010-06-11T23:40:54.239+00:00
117|Jiaganj_Azimganj|4398046520505|R.|Sharma|1980-01-14|61.247.252.135|Firefox|female|2010-05-05T18:57:30.730+00:00
117|Jiaganj_Azimganj|167|Abhishek|Nair|1982-03-25|101.212.192.75|Firefox|male|2010-02-19T12:42:14.255+00:00
117|Jiaganj_Azimganj|17592186050347|Rahul|Kapoor|1983-10-17|49.249.29.17|Firefox|female|2011-05-17T08:33:37.615+00:00
117|Jiaganj_Azimganj|2199023264195|Amit|Rai|1981-09-05|61.95.142.21|Firefox|male|2010-03-11T21:18:42.606+00:00
117|Jiaganj_Azimganj|10995116288013|A.|Khan|1988-02-25|27.116.53.56|Chrome|female|2010-11-14T05:56:28.427+00:00
118|Andhra_Pradesh|474|Arjun|Anand|1982-04-09|61.17.72.85|Firefox|female|2010-01-31T17:45:16.620+00:00
118|Andhra_Pradesh|2199023257018|Shweta|Sharma|1989-02-11|60.243.65.221|Firefox|male|2010-03-23T13:34:41.453+00:00
118|Andhra_Pradesh|4398046518997|Arjun|Sen|1980-12-29|27.61.219.156|Firefox|female|2010-06-08T03:49:44.932+00:00
118|Andhra_Pradesh|17592186046721|Shweta|Khan|1988-10-26|61.246.255.106|Firefox|male|2011-06-30T07:23:00.795+00:00
119|Shillong|21990232555891|Ashok|Khan|1982-09-25|49.203.97.108|Chrome|male|2011-09-13T03:53:54.418+00:00
119|Shillong|32985348837652|Deepak|Khan|1985-07-10|49.15.79.208|Chrome|male|2012-09-04T17:13:31.946+00:00
119|Shillong|17592186045418|Sanjay|Reddy|1986-06-01|27.251.128.40|Opera|male|2011-06-29T09:59:47.226+00:00
119|Shillong|24189255814478|John|Nair|1989-06-01|27.97.129.5|Firefox|male|2011-12-17T17:17:59.075+00:00
120|Baharampur|35184372091015|Anand|Khan|1989-10-11|27.116.21.100|Chrome|female|2012-10-12T23:30:21.433+00:00
120|Baharampur|2199023260507|Ashok|Khan|1981-01-18|27.124.45.152|Internet Explorer|male|2010-03-29T23:46:55.429+00:00
120|Baharampur|37383395347130|John|Sharma|1984-12-24|27.34.244.201|Chrome|male|2012-12-18T03:37:08.060+00:00
120|Baharampur|21990232557143|Sanjay|Kumar|1986-05-14|27.250.207.153|Internet Explorer|male|2011-10-10T19:50:24.087+00:00
120|Baharampur|24189255811631|Shweta|Sharma|1984-02-17|27.123.216.51|Chrome|male|2011-12-29T00:50:31.708+00:00
120|Baharampur|28587302328411|Arvind|Kapoor|1985-12-24|61.246.224.167|Internet Explorer|male|2012-04-02T08:55:45.119+00:00
120|Baharampur|30786325580854|R.|Khan|1988-08-06|103.1.196.175|Safari|female|2012-06-24T09:23:49.136+00:00
120|Baharampur|35184372092945|Abhishek|Nair|1988-08-14|61.95.226.16|Safari|male|2012-10-01T09:22:59.081+00:00
121|Bhopal|2208|Shweta|Sharma|1984-04-25|27.106.35.204|Chrome|male|2010-01-16T16:40:35.139+00:00
121|Bhopal|4398046516093|V.|Kumar|1987-03-06|49.128.169.217|Firefox|female|2010-05-09T21:15:03.786+00:00
121|Bhopal|7761|Arun|Sharma|1983-09-01|14.1.121.153|Safari|female|2010-02-20T03:39:54.146+00:00
121|Bhopal|4857|Kunal|Rao|1980-12-07|27.123.84.244|Firefox|male|2010-02-09T18:11:34.369+00:00
121|Bhopal|15393162789519|Joseph|Singh|1982-10-27|27.107.7.101|Chrome|male|2011-03-10T16:44:40.776+00:00
121|Bhopal|35184372093248|Amit|Chatterjee|1984-02-25|27.131.208.219|Safari|male|2012-10-25T14:11:08.981+00:00
121|Bhopal|35184372093748|A.|Khan|1983-12-12|49.236.1.132|Firefox|female|2012-09-12T08:31:40.924+00:00
121|Bhopal|17592186046919|Aditya|Sharma|1984-10-27|27.123.73.93|Firefox|female|2011-07-03T04:44:16.668+00:00
121|Bhopal|32985348842198|John|Nair|1986-11-24|27.4.107.253|Firefox|male|2012-08-01T15:42:49.928+00:00
121|Bhopal|24189255815972|Sanjay|Sharma|1981-03-28|14.141.67.22|Firefox|male|2012-01-01T02:21:18.124+00:00
121|Bhopal|17592186052058|John|Singh|1985-07-15|59.144.162.32|Internet Explorer|male|2011-05-27T16:43:44.359+00:00
122|Tezpur|26388279072317|A.|Sharma|1985-08-15|27.100.14.117|Internet Explorer|female|2012-01-17T15:19:21.783+00:00
122|Tezpur|15393162798794|Arjun|Sharma|1982-12-22|27.107.78.255|Internet Explorer|female|2011-04-05T04:46:12.599+00:00
122|Tezpur|32985348835531|Abhishek|Singh|1984-08-27|61.95.200.95|Chrome|male|2012-08-11T09:40:38.208+00:00
122|Tezpur|28587302324075|Deepak|Kumar|1983-11-07|14.102.188.68|Internet Explorer|male|2012-03-17T08:20:55.339+00:00
122|Tezpur|26388279071108|Karan|Nair|1986-05-02|49.50.102.60|Firefox|female|2012-02-23T16:55:19.036+00:00
122|Tezpur|28587302330619|Priyanka|Kapoor|1980-08-18|27.116.21.214|Internet Explorer|female|2012-04-10T17:31:04.387+00:00
123|Rourkela|35184372097649|R.|Khan|1985-03-12|61.95.228.56|Internet Explorer|female|2012-10-21T22:00:55.266+00:00
123|Rourkela|24189255820712|Rahul|Roy|1980-09-19|59.165.150.26|Internet Explorer|female|2012-01-05T12:16:19.375+00:00
123|Rourkela|17592186044913|Nitin|Khan|1982-02-16|49.13.207.248|Chrome|male|2011-05-11T10:00:25.333+00:00
123|Rourkela|28587302324453|John|Sharma|1989-08-29|101.59.85.92|Safari|male|2012-03-11T12:01:59.986+00:00
123|Rourkela|2199023258424|Ashok|Sharma|1982-09-18|101.222.89.201|Firefox|male|2010-04-27T05:24:33.918+00:00
123|Rourkela|13194139539617|K.|Singh|1988-05-19|27.112.123.171|Internet Explorer|female|2011-01-26T09:40:59.722+00:00
124|Chennai|24189255821092|Rahul|Nair|1982-04-07|49.136.143.141|Chrome|female|2012-01-06T21:51:43.194+00:00
124|Chennai|30786325583565|Rahul|Rao|1985-04-10|27.50.6.226|Firefox|female|2012-05-14T01:55:57.224+00:00
124|Chennai|35184372095151|Ashok|Singh|1981-04-17|59.183.104.126|Chrome|male|2012-09-09T01:01:31.034+00:00
124|Chennai|9946|Deepak|Khan|1987-04-07|61.11.36.23|Internet Explorer|male|2010-02-09T03:49:17.241+00:00
124|Chennai|4398046512397|Arjun|Kumar|1980-06-16|14.194.51.131|Chrome|female|2010-06-29T06:28:07.687+00:00
124|Chennai|17592186048064|V.|Joshi|1981-07-19|61.95.185.176|Firefox|female|2011-05-13T06:34:40.153+00:00
124|Chennai|17592186046857|Deepak|Sharma|1983-07-20|49.238.39.229|Firefox|male|2011-06-17T04:21:37.208+00:00
124|Chennai|26388279074008|Anand|Singh|1986-03-22|27.0.48.31|Chrome|female|2012-02-01T01:55:50.123+00:00
124|Chennai|13194139539140|Karan|Sharma|1983-03-21|61.0.254.216|Chrome|female|2011-01-15T06:05:12.006+00:00
124|Chennai|15393162794666|Ashok|Kumar|1981-07-29|27.97.19.117|Chrome|male|2011-04-04T00:05:12.302+00:00
125|Noida|24189255819063|Arjun|Kapoor|1985-03-15|49.143.255.34|Firefox|female|2011-12-24T05:52:58.753+00:00
125|Noida|37383395347576|John|Singh|1988-10-02|49.128.165.117|Firefox|male|2012-12-10T10:35:25.287+00:00
125|Noida|10995116285425|A.|Sharma|1988-08-02|27.131.208.3|Chrome|female|2010-12-29T10:29:59.649+00:00
125|Noida|26388279066650|Rahul|Sharma|1985-11-12|49.50.77.195|Firefox|female|2012-01-13T23:46:22.926+00:00
125|Noida|35184372095047|Arun|Rai|1981-03-14|49.128.171.99|Firefox|female|2012-10-09T19:19:07.028+00:00
126|Jammu|5671|Sanjay|Khan|1984-04-18|103.1.113.193|Chrome|male|2010-01-12T07:01:07.579+00:00
126|Jammu|6597069766821|Vinod|Sharma|1987-09-18|27.109.16.223|Internet Explorer|male|2010-07-07T05:14:39.029+00:00
126|Jammu|35184372094132|K.|Roy|1985-07-04|49.200.234.56|Firefox|female|2012-10-03T15:34:52.732+00:00
126|Jammu|28587302322267|Gayatri|Reddy|1984-06-18|49.33.127.55|Chrome|male|2012-04-15T06:57:13.516+00:00
126|Jammu|26388279067465|K.|Irani|1986-12-26|61.95.242.212|Chrome|female|2012-01-12T03:44:09.442+00:00
126|Jammu|19791209303398|Naresh|Kumar|1980-04-05|27.255.172.99|Internet Explorer|male|2011-08-28T17:26:40.895+00:00
126|Jammu|15393162795607|Arun|Singh|1988-01-12|27.96.84.54|Firefox|female|2011-03-08T17:47:55.660+00:00
126|Jammu|15393162798238|A.|Kapoor|1984-02-29|27.121.103.79|Firefox|female|2011-04-20T03:49:38.746+00:00
126|Jammu|13194139533440|Aditya|Khan|1982-02-13|60.254.117.93|Chrome|female|2011-02-03T13:59:34.277+00:00
126|Jammu|4398046512370|Kunal|Sharma|1986-02-18|27.48.183.112|Firefox|male|2010-05-09T16:28:59.012+00:00
127|Kalyani|10995116283417|Shweta|Nair|1983-12-22|58.2.132.209|Firefox|male|2010-12-20T06:15:28.358+00:00
127|Kalyani|10995116286648|Anant|Reddy|1984-12-18|103.1.83.15|Internet Explorer|male|2010-11-18T07:22:42.187+00:00
127|Kalyani|30786325587341|Priyanka|Khan|1983-01-24|49.128.174.160|Chrome|female|2012-07-04T15:02:45.968+00:00
127|Kalyani|17592186047795|Javed|Reddy|1987-06-01|27.118.58.152|Firefox|male|2011-07-03T18:33:54.797+00:00
127|Kalyani|30786325581396|Kunal|Sharma|1980-11-29|61.246.44.227|Chrome|male|2012-06-08T10:53:49.727+00:00
127|Kalyani|21990232561877|Abhishek|Chopra|1982-04-06|27.0.57.19|Chrome|male|2011-10-11T22:20:04.926+00:00
127|Kalyani|17592186047153|Kunal|Kumar|1985-11-23|27.49.166.174|Firefox|male|2011-06-06T05:42:36.340+00:00
127|Kalyani|8796093029722|Aditya|Sharma|1984-07-02|27.107.41.219|Chrome|female|2010-11-02T01:28:26.358+00:00
127|Kalyani|2199023261420|Arjun|Kapoor|1986-01-03|61.0.118.141|Firefox|female|2010-04-09T09:37:35.780+00:00
127|Kalyani|10995116279521|Rahul|Nair|1988-06-21|49.137.1.38|Firefox|female|2010-12-21T17:24:38.689+00:00
128|Delhi|15393162789362|K.|Kumar|1987-09-25|1.187.82.0|Chrome|female|2011-04-04T04:36:29.735+00:00
128|Delhi|17592186051684|Abhishek|Singh|1986-06-17|101.215.181.14|Firefox|male|2011-07-02T11:05:24.354+00:00
128|Delhi|32985348834491|Rahul|Singh|1986-02-26|49.156.111.104|Firefox|female|2012-07-24T01:57:57.689+00:00
128|Delhi|4398046512801|Karan|Singh|1987-02-15|59.183.7.17|Chrome|female|2010-06-03T13:00:55.977+00:00
128|Delhi|28587302326208|Rahul|Irani|1981-05-08|14.102.187.108|Safari|female|2012-04-28T12:19:54.345+00:00
128|Delhi|21990232560745|Arjun|Khan|1988-05-21|1.23.126.96|Firefox|female|2011-11-02T19:05:50.990+00:00
128|Delhi|24189255814268|Arjun|Chopra|1982-03-07|27.50.4.229|Firefox|female|2011-12-26T04:59:35.241+00:00
128|Delhi|24189255821466|Deepak|Joshi|1987-09-22|59.185.246.179|Chrome|male|2011-12-24T12:37:59.568+00:00
129|Gobichettipalayam|8796093024188|A.|Singh|1983-12-26|49.128.166.243|Firefox|female|2010-09-20T16:53:39.693+00:00
129|Gobichettipalayam|13194139536701|Abhishek|Sharma|1986-06-21|27.0.50.120|Firefox|male|2011-01-12T23:07:25.497+00:00
129|Gobichettipalayam|6686|Shweta|Sharma|1983-09-27|61.95.228.118|Chrome|male|2010-01-09T19:23:56.975+00:00
129|Gobichettipalayam|19791209305747|K.|Nair|1989-11-20|61.95.191.167|Internet Explorer|female|2011-08-20T14:52:34.691+00:00
129|Gobichettipalayam|17592186054443|Meera|Rao|1982-11-07|49.249.98.96|Firefox|female|2011-05-12T07:56:51.079+00:00
130|Kochi|21990232556371|Nikhil|Sharma|1984-03-15|27.250.19.130|Chrome|female|2011-09-20T09:23:18.258+00:00
130|Kochi|15393162799345|Priyanka|Singh|1989-07-30|59.90.25.181|Firefox|female|2011-03-11T02:29:15.011+00:00
130|Kochi|21990232563484|A.|Singh|1986-02-23|49.143.252.203|Firefox|female|2011-10-15T19:55:57.575+00:00
130|Kochi|13194139539597|K.|Roy|1984-12-16|27.124.38.25|Internet Explorer|female|2011-01-28T11:01:10.798+00:00
130|Kochi|8796093030473|A.|Rao|1980-02-11|101.2.46.10|Firefox|female|2010-09-29T00:29:07.318+00:00
131|Srinagar|2199023255606|R.|Sharma|1985-08-17|103.1.101.109|Internet Explorer|female|2010-04-16T06:19:26.514+00:00
131|Srinagar|26388279070477|Abhishek|Nair|1988-09-20|27.49.172.174|Internet Explorer|male|2012-01-15T06:59:39.764+00:00
131|Srinagar|21990232562392|Sanjay|Khan|1980-06-09|101.222.206.63|Firefox|male|2011-10-07T10:53:50.732+00:00
131|Srinagar|21990232557356|Deepak|Singh|1982-10-06|27.96.84.27|Firefox|male|2011-09-30T03:01:05.021+00:00
131|Srinagar|28587302328727|Shweta|Sharma|1989-12-14|59.94.81.55|Safari|male|2012-04-19T04:34:05.909+00:00
131|Srinagar|28587302329524|Abhishek|Chatterjee|1986-12-27|49.156.152.130|Chrome|male|2012-03-13T15:55:39.111+00:00
131|Srinagar|21990232561742|Abhishek|Roy|1986-11-30|61.12.1.127|Safari|male|2011-09-14T01:00:37.906+00:00
131|Srinagar|2216|Deepak|Sharma|1987-09-07|27.50.4.151|Internet Explorer|male|2010-02-02T15:50:43.215+00:00
131|Srinagar|7937|Rahul|Kumar|1986-09-17|27.116.19.90|Chrome|female|2010-01-23T14:07:41.044+00:00
132|Ahmedabad|15393162798239|Deepak|Sharma|1984-12-14|49.15.64.148|Chrome|male|2011-04-11T03:30:02.734+00:00
132|Ahmedabad|19791209306015|John|Iyar|1988-09-11|49.15.35.137|Chrome|male|2011-08-16T06:01:32.076+00:00
132|Ahmedabad|4398046517016|Kunal|Kumar|1987-06-29|59.144.27.87|Chrome|male|2010-07-03T18:03:34.615+00:00
132|Ahmedabad|13194139543088|Joseph|Sen|1980-04-21|1.39.106.86|Firefox|male|2011-03-06T10:52:43.584+00:00
132|Ahmedabad|10995116283972|Arun|Khan|1987-04-05|27.106.98.103|Internet Explorer|female|2010-12-14T02:26:44.732+00:00
132|Ahmedabad|26388279069826|Priyanka|Singh|1982-02-13|27.116.19.17|Firefox|female|2012-03-01T16:25:44.249+00:00
132|Ahmedabad|32985348839723|Anand|Singh|1983-06-03|27.60.15.172|Firefox|female|2012-07-26T12:41:41.348+00:00
133|Pune|6597069767925|Lata|Singh|1986-11-08|61.2.120.54|Internet Explorer|female|2010-07-31T21:32:18.812+00:00
133|Pune|32985348839931|Meera|Irani|1988-01-13|27.107.0.79|Firefox|female|2012-08-28T16:24:53.780+00:00
133|Pune|24189255818812|A.|Kumar|1984-03-15|27.100.15.13|Firefox|female|2011-12-08T22:26:39.722+00:00
133|Pune|8796093027747|Kunal|Sharma|1989-10-06|49.156.159.222|Internet Explorer|male|2010-09-27T19:37:42.837+00:00
133|Pune|6597069768442|Abhishek|Kapoor|1981-09-18|27.54.145.100|Firefox|male|2010-09-01T18:11:31.748+00:00
133|Pune|17592186051774|Rahul|Rao|1981-02-19|14.102.191.215|Internet Explorer|female|2011-07-05T18:51:09.819+00:00
133|Pune|19791209307467|Shweta|Kapoor|1980-02-22|27.49.64.106|Firefox|male|2011-07-31T08:51:30.326+00:00
134|Haldia|15393162794309|R.|Kapoor|1986-05-03|27.50.5.92|Internet Explorer|female|2011-03-08T12:00:28.687+00:00
134|Haldia|10995116286003|Shweta|Rao|1981-10-12|49.238.39.215|Firefox|male|2010-12-02T09:49:17.397+00:00
134|Haldia|2199023260607|Arjun|Khan|1982-03-28|103.1.6.192|Firefox|female|2010-04-18T11:11:46.146+00:00
134|Haldia|6597069770461|Abhishek|Singh|1981-02-18|1.6.192.111|Chrome|male|2010-08-10T15:34:09.545+00:00
134|Haldia|10995116286840|Aditya|Nair|1983-06-22|61.246.177.54|Firefox|female|2010-11-26T03:30:45.337+00:00
134|Haldia|37383395350913|Arun|Singh|1984-04-26|1.22.7.0|Safari|female|2012-12-02T03:05:27.361+00:00
134|Haldia|37383395353039|Abhishek|Sen|1981-09-04|14.102.169.55|Firefox|male|2012-11-20T10:12:42.288+00:00
134|Haldia|13194139537181|Shweta|Reddy|1982-01-17|61.11.26.121|Internet Explorer|male|2011-02-17T21:39:06.961+00:00
134|Haldia|17592186050115|Ashok|Roy|1988-04-17|27.121.103.177|Firefox|male|2011-06-01T09:47:38.811+00:00
134|Haldia|24189255811800|Shweta|Singh|1983-05-06|1.39.89.51|Chrome|male|2011-12-11T12:16:59.037+00:00
134|Haldia|21990232563798|K.|Rao|1986-11-23|103.1.115.198|Chrome|female|2011-09-25T03:29:56.148+00:00
134|Haldia|30786325581529|Karan|Chopra|1980-08-15|27.97.55.39|Chrome|female|2012-05-12T05:08:42.746+00:00
134|Haldia|35184372092870|Deepak|Khan|1986-11-16|49.14.248.222|Firefox|male|2012-10-02T00:41:48.499+00:00
134|Haldia|9241|Rajiv|Reddy|1988-07-19|103.1.198.158|Opera|male|2010-02-26T05:09:26.082+00:00
135|Nagpur|32985348838559|Ashok|Sharma|1984-12-02|61.95.152.86|Firefox|male|2012-07-18T21:07:25.804+00:00
135|Nagpur|17592186044882|Shweta|Kapoor|1985-12-21|61.17.26.45|Firefox|male|2011-05-19T05:37:12.584+00:00
135|Nagpur|17592186048913|K.|Irani|1980-09-21|61.95.195.79|Internet Explorer|female|2011-06-07T17:32:33.590+00:00
135|Nagpur|8796093032553|Priyanka|Singh|1986-11-07|14.102.161.1|Firefox|female|2010-10-14T18:38:00.870+00:00
135|Nagpur|6597069773095|Shweta|Kapoor|1981-03-04|101.56.42.136|Chrome|male|2010-07-07T00:08:41.841+00:00
135|Nagpur|10995116286614|Ashok|Khan|1985-08-28|14.99.60.60|Internet Explorer|male|2010-12-07T11:58:13.370+00:00
135|Nagpur|10995116277921|Ashok|Singh|1982-11-12|42.110.177.94|Internet Explorer|male|2010-11-04T04:00:20.921+00:00
135|Nagpur|6597069766750|K.|Sen|1980-07-16|61.247.235.24|Firefox|female|2010-07-23T19:50:42.892+00:00
136|Kakinada|6597069768955|Rahul|Khan|1984-07-22|101.0.49.54|Chrome|female|2010-08-22T07:13:19.851+00:00
136|Kakinada|2199023260711|Priyanka|Reddy|1989-05-02|27.107.100.76|Chrome|female|2010-04-23T15:34:16.654+00:00
136|Kakinada|6597069773639|Arun|Singh|1987-02-04|101.2.55.120|Firefox|female|2010-07-14T17:46:32.438+00:00
136|Kakinada|2199023259422|Arjun|Reddy|1983-06-03|49.138.62.241|Firefox|female|2010-05-03T06:24:32.303+00:00
136|Kakinada|2199023261953|A.|Singh|1985-03-26|42.105.137.211|Firefox|female|2010-04-14T18:06:22.361+00:00
136|Kakinada|28587302328924|Shweta|Irani|1981-07-29|103.1.6.131|Firefox|male|2012-04-06T19:33:39.300+00:00
136|Kakinada|30786325581580|Ashok|Nair|1982-05-11|58.146.108.175|Firefox|male|2012-06-16T15:31:21.624+00:00
136|Kakinada|30786325578155|John|Reddy|1983-08-27|27.48.54.109|Firefox|male|2012-05-08T23:36:04.288+00:00
136|Kakinada|28587302323781|Shweta|Khan|1986-11-03|27.255.137.201|Firefox|male|2012-04-12T12:02:30.382+00:00
136|Kakinada|32985348842332|Arjun|Khan|1984-07-05|101.60.174.230|Firefox|female|2012-07-27T17:33:18.162+00:00
136|Kakinada|17592186051871|Ashok|Sharma|1986-09-17|49.50.65.177|Firefox|male|2011-06-05T10:17:08.964+00:00
137|Berhampur|35184372097490|K.|Rao|1982-06-22|27.96.86.160|Firefox|female|2012-09-27T17:13:48.232+00:00
137|Berhampur|4398046511202|A.|Sen|1989-05-10|61.0.61.179|Internet Explorer|female|2010-06-20T18:06:39.199+00:00
137|Berhampur|2199023257361|Rahul|Reddy|1988-04-26|58.68.1.248|Firefox|female|2010-03-21T15:30:56.607+00:00
137|Berhampur|4398046516688|Karan|Khan|1981-07-30|27.116.34.173|Firefox|female|2010-06-11T19:03:35.454+00:00
137|Berhampur|8796093031780|K.|Irani|1982-06-19|101.2.48.8|Firefox|female|2010-09-09T12:07:44.907+00:00
138|Darbhanga|35184372092825|Rahul|Khan|1980-01-01|103.1.114.66|Firefox|female|2012-09-12T12:38:05.566+00:00
138|Darbhanga|17592186046523|John|Sharma|1989-06-04|1.6.12.68|Firefox|male|2011-05-29T16:49:49.107+00:00
138|Darbhanga|35184372097978|Rahul|Nair|1987-09-02|61.17.83.152|Firefox|female|2012-11-05T01:04:02.267+00:00
138|Darbhanga|15393162792415|K.|Kumar|1982-02-16|27.251.114.118|Internet Explorer|female|2011-04-17T16:45:08.082+00:00
139|Thirthahalli|6597069767602|Amit|Singh|1986-07-31|101.209.151.210|Firefox|male|2010-08-16T09:45:37.790+00:00
139|Thirthahalli|6597069770218|Shweta|Rao|1987-12-04|27.113.254.7|Firefox|male|2010-07-30T22:37:01.630+00:00
139|Thirthahalli|24189255817431|Shweta|Kapoor|1986-03-10|61.1.175.222|Opera|male|2011-12-01T20:51:38.046+00:00
139|Thirthahalli|19791209307171|John|Khan|1980-06-07|27.97.104.103|Chrome|male|2011-07-26T02:52:32.347+00:00
139|Thirthahalli|35184372095402|Rahul|Rao|1983-07-18|61.11.28.170|Chrome|female|2012-10-06T07:49:47.939+00:00
139|Thirthahalli|28587302331189|Ashok|Singh|1981-06-29|61.17.118.204|Firefox|male|2012-04-15T22:14:52.272+00:00
139|Thirthahalli|35184372089461|John|Rao|1984-09-29|14.102.234.94|Chrome|male|2012-09-15T09:34:55.628+00:00
139|Thirthahalli|26388279077102|Amit|Kapoor|1986-10-29|49.13.204.101|Firefox|male|2012-01-30T21:09:44.960+00:00
